BayesianSearch: New best config found. Config: {'topK': 640, 'shrink': 590, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03324440079365104 - time: 2018-12-01 11:50:45.397725
BayesianSearch: Config is suboptimal. Config: {'topK': 440, 'shrink': 90, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03313412698412721 - time: 2018-12-01 11:50:52.357561
BayesianSearch: New best config found. Config: {'topK': 50, 'shrink': 980, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03354257142857169 - time: 2018-12-01 11:50:59.869613
BayesianSearch: Config is suboptimal. Config: {'topK': 320, 'shrink': 640, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03328211111111139 - time: 2018-12-01 11:51:07.383382
BayesianSearch: Config is suboptimal. Config: {'topK': 210, 'shrink': 520, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.033114662698412956 - time: 2018-12-01 11:51:14.866770
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 530, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03312121825396854 - time: 2018-12-01 11:51:21.762524
BayesianSearch: Config is suboptimal. Config: {'topK': 290, 'shrink': 710, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.0330582738095241 - time: 2018-12-01 11:51:28.629689
BayesianSearch: Config is suboptimal. Config: {'topK': 690, 'shrink': 460, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03311248809523834 - time: 2018-12-01 11:51:35.473038
BayesianSearch: Config is suboptimal. Config: {'topK': 780, 'shrink': 1190, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03318484920634947 - time: 2018-12-01 11:51:48.362961
BayesianSearch: New best config found. Config: {'topK': 10, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.034799210317460604 - time: 2018-12-01 11:52:02.370508
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 20, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03308680555555578 - time: 2018-12-01 11:52:17.423978
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03460966666666684 - time: 2018-12-01 11:52:32.096707
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 1190, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.034629146825397035 - time: 2018-12-01 11:52:46.415527
BayesianSearch: Config is suboptimal. Config: {'topK': 420, 'shrink': 1190, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03318484920634947 - time: 2018-12-01 11:53:00.971103
BayesianSearch: Config is suboptimal. Config: {'topK': 30, 'shrink': 20, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03398514285714308 - time: 2018-12-01 11:53:14.569445
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 310, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03474270634920665 - time: 2018-12-01 11:53:28.906017
BayesianSearch: New best config found. Config: {'topK': 10, 'shrink': 680, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03484079761904791 - time: 2018-12-01 11:53:42.901222
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 530, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.034785873015873305 - time: 2018-12-01 11:53:56.942548
BayesianSearch: Config is suboptimal. Config: {'topK': 610, 'shrink': 160, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03314921031746057 - time: 2018-12-01 11:54:12.281507
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 890, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.033189551587301865 - time: 2018-12-01 11:54:25.202096
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 1170, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03474056349206378 - time: 2018-12-01 11:54:38.687261
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.034799210317460604 - time: 2018-12-01 11:54:52.976393
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 700, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03462347619047633 - time: 2018-12-01 11:55:07.832381
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 460, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03471976984127013 - time: 2018-12-01 11:55:23.195079
BayesianSearch: Config is suboptimal. Config: {'topK': 30, 'shrink': 690, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.033918821428571645 - time: 2018-12-01 11:55:37.692128
BayesianSearch: Config is suboptimal. Config: {'topK': 560, 'shrink': 10, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03303284126984152 - time: 2018-12-01 11:55:51.570854
BayesianSearch: Config is suboptimal. Config: {'topK': 580, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03324630952380975 - time: 2018-12-01 11:56:05.718649
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 590, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03324440079365104 - time: 2018-12-01 11:56:19.373261
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 240, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.033067825396825644 - time: 2018-12-01 11:56:33.488817
BayesianSearch: Config is suboptimal. Config: {'topK': 650, 'shrink': 1190, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03316970238095265 - time: 2018-12-01 11:56:47.939794
BayesianSearch: Config is suboptimal. Config: {'topK': 290, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.033057765873016134 - time: 2018-12-01 11:57:02.560794
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 820, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.034696595238095526 - time: 2018-12-01 11:57:16.603154
BayesianSearch: Config is suboptimal. Config: {'topK': 170, 'shrink': 1190, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03316970238095265 - time: 2018-12-01 11:57:30.285878
BayesianSearch: Config is suboptimal. Config: {'topK': 160, 'shrink': 350, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03322546031746061 - time: 2018-12-01 11:57:44.824463
BayesianSearch: Config is suboptimal. Config: {'topK': 370, 'shrink': 940, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03305971031746059 - time: 2018-12-01 11:57:59.309165
BayesianSearch: Config is suboptimal. Config: {'topK': 40, 'shrink': 780, 'similarity': 'cosine', 'normalize': True} - MAP results: 0.03374065079365111 - time: 2018-12-01 11:58:13.521426
BayesianSearch: Config is suboptimal. Config: {'topK': 460, 'shrink': 370, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.03310626984127011 - time: 2018-12-01 11:58:27.299677
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 770, 'similarity': 'cosine', 'normalize': False} - MAP results: 0.033093531746032016 - time: 2018-12-01 11:58:41.529152
BayesianSearch: Best config is: Config {'topK': 10, 'shrink': 680, 'similarity': 'cosine', 'normalize': True}, MAP value is 0.0348
BayesianSearch: New best config found. Config: {'topK': 250, 'shrink': 220, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.04947521131162381 - time: 2018-12-14 08:34:01.643032
BayesianSearch: New best config found. Config: {'topK': 250, 'shrink': 92, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.0514228952616689 - time: 2018-12-14 08:36:43.883236
BayesianSearch: New best config found. Config: {'topK': 290, 'shrink': 64, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.05146861251104569 - time: 2018-12-14 08:39:00.673146
BayesianSearch: Config is suboptimal. Config: {'topK': 740, 'shrink': 200, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.04951100953056353 - time: 2018-12-14 08:41:16.625191
BayesianSearch: New best config found. Config: {'topK': 610, 'shrink': 12, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.04952164344275864 - time: 2018-12-14 08:45:02.746941
BayesianSearch: New best config found. Config: {'topK': 160, 'shrink': 56, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05151696578038195 - time: 2018-12-14 08:45:44.563367
BayesianSearch: New best config found. Config: {'topK': 130, 'shrink': 120, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.051537146632637164 - time: 2018-12-14 08:46:30.111057
BayesianSearch: New best config found. Config: {'topK': 20, 'shrink': 52, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.05272826678294754 - time: 2018-12-14 08:47:10.574598
BayesianSearch: New best config found. Config: {'topK': 450, 'shrink': 6, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.052478527426013555 - time: 2018-12-14 12:01:31.506925
BayesianSearch: New best config found. Config: {'topK': 230, 'shrink': 58, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.05250382126828145 - time: 2018-12-14 12:01:55.506617
BayesianSearch: Config is suboptimal. Config: {'topK': 230, 'shrink': 38, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.051337342397375696 - time: 2018-12-14 12:02:19.621668
BayesianSearch: Config is suboptimal. Config: {'topK': 770, 'shrink': 96, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052402704138221234 - time: 2018-12-14 12:02:42.996181
BayesianSearch: Config is suboptimal. Config: {'topK': 630, 'shrink': 98, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052446770754730185 - time: 2018-12-14 12:03:08.168688
BayesianSearch: Config is suboptimal. Config: {'topK': 250, 'shrink': 66, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.0524325599521016 - time: 2018-12-14 12:03:32.514325
BayesianSearch: Config is suboptimal. Config: {'topK': 420, 'shrink': 74, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.051490270515273454 - time: 2018-12-14 12:03:59.990184
BayesianSearch: Config is suboptimal. Config: {'topK': 660, 'shrink': 38, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.051337342397375696 - time: 2018-12-14 12:04:27.457286
BayesianSearch: Config is suboptimal. Config: {'topK': 630, 'shrink': 120, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.051537146632637164 - time: 2018-12-14 12:04:53.384914
BayesianSearch: Config is suboptimal. Config: {'topK': 320, 'shrink': 86, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.05248601578854992 - time: 2018-12-14 12:05:19.140378
BayesianSearch: Config is suboptimal. Config: {'topK': 440, 'shrink': 72, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.05249257364420337 - time: 2018-12-14 12:05:44.607771
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 220, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.05248592271601067 - time: 2018-12-14 12:06:09.518847
BayesianSearch: Config is suboptimal. Config: {'topK': 400, 'shrink': 100, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.052467066730249715 - time: 2018-12-14 12:06:35.526366
BayesianSearch: Config is suboptimal. Config: {'topK': 320, 'shrink': 80, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05158007392839012 - time: 2018-12-14 12:07:01.716612
BayesianSearch: Config is suboptimal. Config: {'topK': 170, 'shrink': 56, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05151696578038195 - time: 2018-12-14 12:07:28.034581
BayesianSearch: Config is suboptimal. Config: {'topK': 130, 'shrink': 42, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.05134772243904927 - time: 2018-12-14 12:07:53.762593
BayesianSearch: Config is suboptimal. Config: {'topK': 530, 'shrink': 220, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.05172563271521357 - time: 2018-12-14 12:08:19.585976
BayesianSearch: Config is suboptimal. Config: {'topK': 210, 'shrink': 48, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.05135386455550261 - time: 2018-12-14 12:08:46.035483
BayesianSearch: Config is suboptimal. Config: {'topK': 290, 'shrink': 40, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.04968244801470451 - time: 2018-12-14 12:09:11.976472
BayesianSearch: Config is suboptimal. Config: {'topK': 220, 'shrink': 200, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.04951100953056353 - time: 2018-12-14 12:09:38.424479
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.0508189236777415 - time: 2018-12-14 12:10:12.767155
BayesianSearch: New best config found. Config: {'topK': 10, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.05285737731154008 - time: 2018-12-14 12:10:46.306882
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052851494066353234 - time: 2018-12-14 12:11:20.038810
BayesianSearch: Config is suboptimal. Config: {'topK': 170, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.04951548401411377 - time: 2018-12-14 12:11:55.050208
